Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
1,3,48.009998,48.540001,47.599998,47.68,45.652878,43813700
2,3,47.689999,48.720001,46.889999,47.5,45.48053,44813900
3,3,48.41,48.459999,46.889999,47.630001,45.605003,36076500
4,3,47.290001,47.310001,46.16,46.66,44.676247,36456000
5,3,47.150002,47.279999,45.77,45.830002,43.881535,27082100
1,3,45.900002,45.98,44.299999,44.400002,42.512333,35993900
2,3,44.5,44.900002,44.07,44.810001,42.904896,34448900
3,3,45.299999,46.630001,45.27,46.630001,44.647518,38885500
4,3,46.32,47.290001,45.73,47.139999,45.135838,28555000
5,3,46.82,47.599998,46.349998,47.450001,45.432663,46237100
1,3,47.459999,47.889999,47.07,47.389999,45.375206,32910900
2,3,47.5,48.470001,47.400002,48.389999,46.332695,27923300
3,3,48.459999,49.580002,48.060001,48.27,46.217796,37126400
4,3,48.66,51.650002,48.59,51.619999,49.425369,51677900
5,3,50.689999,51.98,50.450001,51.830002,49.626442,33239800
1,3,51.360001,51.57,50.560001,51.509998,49.320045,22932400
2,3,52,52.290001,51.279999,52.25,50.028587,27303700
3,3,52.25,52.509998,51.220001,51.43,49.243446,24623300
4,3,51.200001,51.259998,49.509998,49.560001,47.452953,43698300
5,4,49.830002,49.900002,47.330002,48.110001,46.064598,46598600
1,4,48.169998,49.23,47.919998,49.200001,47.108257,23784900
2,4,48.830002,48.98,48.02,48.130001,46.083748,25779200
3,4,47.439999,48.169998,47.240002,47.540001,45.518833,31518700
4,4,47.43,47.91,46.77,47.560001,45.537983,24117000
5,4,47.279999,47.580002,46.849998,47.02,45.020939,22167300
1,4,46.900002,47.299999,46.529999,46.57,44.590073,30352500
2,4,47.32,47.91,46.41,46.5,44.523048,29861400
3,4,46.75,47.27,46.549999,47.009998,45.011364,22171300
4,4,46.75,46.75,45.619999,45.669998,43.728333,36181800
1,4,45.529999,46.889999,45.52,46.639999,44.657093,25593100
2,4,46.599998,48,46.34,47.93,45.892254,31483100
3,4,48.360001,48.75,47.98,48.110001,46.064598,22787100
4,4,48.619999,48.900002,47.400002,47.5,45.48053,27316900
5,4,47.450001,47.650002,46.5,46.540001,44.561348,28219900
1,4,46.209999,47.139999,46.18,47.060001,45.059242,35999300
2,4,46.689999,46.84,45.509998,45.52,43.584713,35356600
3,4,45.48,46.060001,45.009998,45.220001,43.297466,28320900
4,4,45.790001,47.27,45.540001,46.84,44.848595,41097000
5,4,44.990002,45.360001,43.5,43.59,41.736763,70765900
1,5,43.720001,44.990002,43.509998,44.959999,43.048519,45446500
2,5,44.790001,45.490002,44.23,45.060001,43.144268,40158400
3,5,45.060001,46.639999,44.41,46.540001,44.561348,44625600
4,5,45.599998,45.91,44.130001,44.599998,43.041386,52996700
5,5,44.490002,45.150002,43.84,44.299999,42.751873,40916600
1,5,43.810001,44.200001,42.869999,43.07,41.564854,44925800
2,5,44.349998,44.740002,43.5,44.009998,42.472004,42770000
3,5,44.02,44.290001,42.779999,42.830002,41.333244,40351700
4,5,42.73,42.91,42.009998,42.84,41.342892,42329600
5,5,43.419998,43.84,42.970001,43.599998,42.076332,32034100
1,5,43.419998,43.610001,42.790001,43.080002,41.574509,25071900
2,5,43.82,44.419998,43.650002,44.400002,42.848381,28596600
3,5,43.98,43.98,42.220001,42.349998,40.870018,35218400
4,5,42.32,42.700001,41.720001,42.009998,40.541901,29181000
5,5,42.25,42.290001,40.310001,41.650002,40.194481,44802300
1,5,41.689999,42.25,41.330002,42,40.532249,27199500
2,5,41.700001,41.889999,41.099998,41.669998,40.213776,29837500
3,5,41.439999,42.52,41.389999,42.200001,40.725258,26283100
4,5,42.169998,43.68,42.080002,43.48,41.960526,28826700
5,5,43.59,44.549999,43.549999,44.549999,42.993134,30553300
2,5,44.25,44.75,43.650002,44.419998,42.867676,41111500
3,6,44.77,44.93,43.529999,44.110001,42.568516,29885500
4,6,44.189999,44.880001,43.939999,44.84,43.272999,28727600
5,6,44.110001,44.25,43.34,43.389999,41.873672,33174700
1,6,43.810001,44.040001,43.080002,43.34,41.825417,25437100
2,6,43.060001,43.59,42.66,43.529999,42.008778,25168700
3,6,42.25,42.259998,41.029999,41.23,39.789154,59649900
4,6,41.009998,41.349998,40.009998,40.009998,38.61179,39047200
5,6,39.849998,40.080002,39.18,39.18,37.810799,43066200
1,6,38.549999,38.810001,37.669998,37.77,36.450069,50335900
2,6,38.009998,38.200001,37.540001,37.93,36.604481,31351700
3,6,38.560001,39.169998,37.919998,38.650002,37.299316,37652300
4,6,37.700001,37.790001,36.93,37.34,36.035103,45576500
5,6,37.48,38.119999,36.599998,36.970001,35.678028,71393200
2,6,37.360001,38.029999,37.330002,37.73,36.411469,34004900
3,6,37.330002,37.77,37.220001,37.380001,36.0737,32571000
4,6,37.610001,37.619999,36.91,37.41,36.102654,30163000
5,6,37.849998,38.639999,37.740002,38.610001,37.260719,38159900
1,6,38.869999,39.060001,38.470001,38.630001,37.280018,29585300
2,6,38.580002,39.02,37.740002,37.779999,36.459717,37824200
3,6,37.540001,37.599998,37.02,37.290001,35.986847,25437200
4,6,37.209999,38,36.73,37.41,36.102654,35141000
5,7,37.09,37.200001,35.880001,36.34,35.070045,40596300
2,7,35.93,36.740002,35.540001,36.689999,35.40781,33215000
3,7,36.82,37.419998,36.459999,36.990002,35.69733,26258300
4,7,37.889999,38.330002,37.73,38.139999,36.807144,33165400
5,7,37.66,38.139999,37.389999,37.990002,36.662388,22566300
1,7,37.66,37.669998,37.029999,37.200001,35.899994,25904300
2,7,37.650002,37.700001,36.990002,37.209999,35.909641,30546300
3,7,36.68,37.43,36.619999,37.209999,35.909641,27059200
4,7,36.990002,38.16,36.290001,37.709999,36.392166,36690700
5,7,38.27,38.669998,37.73,38.619999,37.270367,32892300
1,7,39.099998,39.34,38.529999,38.709999,37.35722,30814400
2,7,39.32,40.73,39.240002,40.220001,38.814457,53095300
3,7,40.209999,40.669998,39.560001,40.560001,39.142574,36387900
4,7,40.509998,40.650002,39.82,40.610001,39.190826,29661200
5,7,40.369999,40.509998,38.939999,39.200001,37.830101,41350000
1,7,39.279999,39.41,38.549999,39.16,37.791496,32263400
2,7,39.099998,39.57,38.880001,38.959999,37.598484,35925500
3,7,39.27,40.419998,39.23,40.18,38.775848,42571600
4,7,40.09,40.119999,39.040001,39.709999,38.322273,56662300
5,7,35.599998,36.619999,35.240002,36.310001,35.0411,125292400
1,8,36.049999,37.689999,36.049999,36.959999,35.668377,52513400
2,8,36.59,36.66,36,36.009998,34.751575,53929400
3,8,36.09,36.59,35.259998,36.52,35.243755,59513900
4,8,36.009998,36.099998,35.360001,35.66,34.76123,54046300
5,8,35.349998,35.689999,35.18,35.389999,34.498035,40205100
1,8,35.360001,35.959999,35.200001,35.380001,34.488285,41534600
2,8,35.220001,35.299999,34.400002,34.52,33.649963,48202300
3,8,34.990002,35.400002,34.59,35.369999,34.478539,42243300
4,8,35.639999,36.290001,35.490002,35.59,34.692997,35569700
5,8,35.799999,36.139999,35.669998,36.110001,35.199886,37675200
1,8,36.099998,36.43,35.709999,36.34,35.424091,25400600
2,8,36.16,36.580002,35.700001,36.189999,35.27787,25000200
3,8,35.810001,36.080002,35.27,35.779999,34.878204,29176100
4,8,35.68,36.330002,35.57,36.200001,35.287621,24598200
5,8,35.799999,36.029999,35.189999,35.380001,34.488285,31425500
1,8,35,35.060001,33.73,33.84,32.987103,51006100
2,8,33.98,34.389999,33.91,33.950001,33.09433,30687100
3,8,33.970001,33.990002,33.599998,33.860001,33.006596,25105700
4,8,33.869999,34.93,33.82,34.889999,34.010635,29799100
5,8,34.950001,35.029999,33.349998,33.360001,32.519199,44851500
1,8,33.23,33.41,32.810001,32.939999,32.109783,32976800
2,8,33.040001,33.07,32.150002,32.259998,31.44692,40182500
3,8,32.389999,32.389999,31.77,31.92,31.115494,44074500
4,9,31.57,31.83,31.129999,31.76,30.959526,36440700
5,9,32.209999,32.380001,31.059999,31.219999,30.433136,34893300
2,9,31.389999,31.389999,30.33,30.360001,29.59481,46989600
3,9,30.42,30.790001,30.049999,30.65,29.877501,37329500
4,9,30.370001,30.85,29.91,30.75,29.974981,37359500
5,9,31.190001,31.5,31.08,31.459999,30.667086,34069500
1,9,31.74,31.860001,31.1,31.559999,30.764565,38305500
2,9,30.83,30.93,29.25,29.290001,28.551781,71417900
3,9,29.549999,29.77,29.01,29.18,28.444551,40767200
4,9,29.15,29.41,28.709999,28.84,28.113121,39919100
5,9,28.700001,29.32,28.42,29.24,28.503038,72748000
1,9,29.02,29.5,28.9,29.440001,28.698,33151900
2,9,29.07,29.17,28.709999,28.959999,28.230097,31129000
3,9,29.15,29.59,28.459999,28.469999,27.752445,39977300
4,9,28.4,28.5,28.040001,28.07,27.362528,36092700
5,9,27.9,27.9,27.190001,27.52,26.826389,43491100
1,9,27.559999,27.700001,26.860001,26.969999,26.290251,44786400
2,9,27.4,27.6,26.620001,26.889999,26.212267,44121400
3,9,26.860001,27.280001,26.6,27.129999,26.446218,40433400
4,9,26.780001,26.780001,26.190001,26.379999,25.71512,41831300
5,9,26.299999,26.57,25.74,25.77,25.120497,43821000
1,10,26.33,27.25,26.07,26.969999,26.290251,44096200
2,10,27.43,27.799999,27.09,27.700001,27.001854,42427500
3,10,27.370001,27.84,26.889999,27.639999,26.943365,30120000
4,10,27.440001,27.76,27,27.18,26.494959,33985100
5,10,26.17,26.280001,25.65,25.719999,25.071754,57215500
1,10,25.940001,25.99,25.09,25.200001,24.564863,43409300
2,10,25.01,25.48,24.690001,25.040001,24.408895,48134900
3,10,25.049999,25.52,24.66,25.33,24.691586,39634100
4,10,24.73,26.84,24.59,26.42,25.754114,62447000
5,10,26.459999,26.629999,25.76,25.91,25.256968,48185400
1,10,26.309999,26.75,26.17,26.42,25.754114,39416500
2,10,26.74,26.959999,25.540001,25.870001,25.217976,51126900
3,10,25.74,26.25,25.690001,26,25.3447,33882300
4,10,26.15,26.950001,25.950001,26.08,25.422684,33247700
5,10,25.85,27.049999,25.790001,26.969999,26.290251,53058700
1,10,26.75,27.48,26.52,27.18,26.494959,43831600
2,10,27.18,27.559999,27,27.41,26.719162,32205300
3,10,27.190001,27.799999,26.99,27.209999,26.524202,37111100
4,10,27.450001,27.59,26.129999,26.27,25.607895,56305100
5,10,28.18,29.219999,27.860001,29.07,28.337324,91695700
1,10,29.08,29.18,28.049999,28.43,27.713453,59507700
2,11,28.799999,28.85,27.889999,28.299999,27.586731,44418700
3,11,28.27,28.85,27.41,27.42,26.72891,51956100
4,11,27.450001,27.879999,27.17,27.389999,26.699667,39678200
5,11,27.57,28.24,27.41,28.200001,27.860523,43051900
1,11,28.360001,28.469999,27.889999,28.41,28.067993,34389800
2,11,28.76,28.950001,27.93,28.48,28.13715,36258000
3,11,28.219999,28.299999,27.52,27.52,27.188709,30544800
4,11,28.879999,29.83,28.65,29.76,29.401743,62943900
5,11,28.93,30.629999,28.870001,30.43,30.063677,49826500
1,11,30.34,30.99,30.18,30.35,29.98464,39395300
2,11,31.1,31.34,30.17,30.709999,30.340305,40933200
3,11,30.110001,30.23,29.440001,29.530001,29.174511,35582800
4,11,29.07,29.950001,29,29.889999,29.530176,31983300
5,11,30.26,30.26,29.610001,29.870001,29.510418,27122200
1,11,29.66,29.719999,28.91,28.940001,28.591614,36086800
2,11,29.139999,29.860001,29.059999,29.82,29.46102,25584100
3,11,29.73,30.08,29.49,29.67,29.312826,23143900
5,11,29.68,29.68,29.34,29.34,28.986799,11314900
1,11,29.1,29.190001,28.540001,28.73,28.384142,28267900
2,11,28.85,29.18,28.74,28.9,28.552095,24361500
3,11,28.77,30.08,28.219999,30.07,29.70801,72072500
4,12,30.24,30.48,29.52,29.83,29.4709,38896300
5,12,29.17,29.43,28.709999,29.41,29.055956,31546000
1,12,29.42,29.75,28.889999,29.17,28.818846,34040400
2,12,29.190001,29.309999,28.34,28.6,28.255707,27701200
3,12,28.280001,28.549999,28.15,28.33,27.988956,28239900
4,12,28.32,28.6,28.07,28.440001,28.097633,28486100
5,12,28.389999,28.780001,28.190001,28.24,27.90004,25641300
1,12,28.129999,28.709999,27.860001,28.690001,28.344624,35117900
2,12,29.790001,30.09,28.370001,28.73,28.384142,58546800
3,12,28.51,29.120001,28.01,28.26,27.9198,37141100
4,12,27.940001,28,27.120001,27.15,26.823162,45682700
5,12,27,27.139999,26.450001,26.92,26.59593,81104200
1,12,26.9,26.969999,26.5,26.790001,26.467497,37662500
2,12,26.540001,26.870001,26.42,26.440001,26.12171,31863300
3,12,26.59,26.969999,26.58,26.83,26.507013,28100900
4,12,26.450001,26.450001,25.35,25.969999,25.657366,47478300
5,12,25.92,26.190001,25.68,26.09,25.775923,23600900
2,12,25.85,26.1,25.65,25.940001,25.627729,29548100
3,12,25.84,26.120001,25.5,25.540001,25.232544,26176900
4,12,25.77,26.290001,25.75,26.209999,25.894478,30944800
5,12,25.9,26.459999,25.799999,26.43,26.11183,31030100
2,1,27.049999,27.07,26.370001,26.73,26.408218,31308000
3,1,27.41,27.92,27.16,27.68,27.346783,37665200
4,1,27.440001,27.780001,27.379999,27.559999,27.228226,33552600
5,1,27.93,28.83,27.379999,28.73,28.384142,31788600
1,1,28.84,29.870001,28.84,29.309999,28.957159,37493200
2,1,29.24,29.51,28.92,29.440001,29.085594,23008100
3,1,29.68,29.879999,29,29.85,29.49066,30375400
4,1,29.98,30.379999,29.469999,30.290001,29.925364,28963900
5,1,29.969999,30.17,29.809999,30.110001,29.74753,31361900
2,1,30.18,30.26,29.52,29.6,29.24367,34759100
3,1,29.799999,29.82,28.629999,28.809999,28.463179,44199600
4,1,28.610001,28.76,28.24,28.42,28.077873,36886600
5,1,28.42,29.23,28.25,29.219999,28.868242,35158500
1,1,29.33,30.49,29.18,30.27,29.905603,38795800
2,1,29.940001,30.190001,29.73,29.92,29.559816,24855100
3,1,29.52,29.889999,29.17,29.700001,29.342464,28268000
4,1,30.059999,30.110001,29.33,30.09,29.72777,56088100
5,1,27.07,28.24,26.780001,28.16,27.821003,148548200
1,1,27.719999,28.51,27.67,27.950001,27.613533,55145800
2,1,27.780001,28.290001,27.530001,28.26,27.9198,52621600
3,2,27.889999,29.43,27.68,29.07,28.720049,63330600
4,2,29.25,30.299999,28.799999,30.190001,29.826567,62230700
5,2,29.620001,31.17,29.530001,30.32,29.955,57603100
1,2,29.549999,29.65,28.610001,28.690001,28.690001,48726400
2,2,28.65,29.27,28.43,29.049999,29.049999,50780800
3,2,28.950001,29.120001,28.209999,28.24,28.24,36479100
4,2,28.68,28.82,27.57,27.73,27.73,43906400
5,2,27.629999,27.99,27.34,27.799999,27.799999,31232500
1,2,27.870001,28.549999,27.719999,28.549999,28.549999,32347500
2,2,28.379999,28.719999,27.99,28.639999,28.639999,27928900
3,2,28.360001,28.879999,28.16,28.85,28.85,23359400
4,2,28.5,28.83,28.129999,28.200001,28.200001,28972500
5,2,28,28.07,27.379999,27.610001,27.610001,32086200
2,2,27.110001,27.27,26.040001,26.059999,26.059999,63668400
3,2,25.91,26.9,25.299999,25.469999,25.469999,89195300
4,2,25.780001,26.08,25.32,25.610001,25.610001,56473200
5,2,25.219999,25.35,24.92,25.139999,25.139999,44089900
1,2,25.549999,25.58,24.879999,24.9,24.9,37657000
2,2,24.940001,25.120001,24.73,24.93,24.93,50255300
3,3,25.030001,25.92,24.969999,25.33,25.33,47823400
4,3,25.209999,26.299999,25.120001,26.200001,26.200001,48309300
5,3,26.200001,26.48,26.01,26.4,26.4,36729200
1,3,26.469999,26.540001,25.93,25.99,25.99,37852300
